#Variables:
#pr_bcc-csm1-1_rcp85(mm):Monthly Precipitation Amount
#pr_CNRM-CM5_rcp85(mm):Monthly Precipitation Amount
#pr_inmcm4_rcp85(mm):Monthly Precipitation Amount
#pr_MIROC-ESM_rcp85(mm):Monthly Precipitation Amount
#pr_NorESM1-M_rcp85(mm):Monthly Precipitation Amount
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)"
""
yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)
2057-04-15,89.135384,69.882927,135.422409,51.108120,104.840599
2057-05-15,43.836884,103.801201,81.574989,99.045029,170.466919
2057-06-15,10.593422,138.675705,8.598141,63.916222,95.738327
2057-07-15,49.167015,130.800537,62.114830,94.531738,93.486526
2057-08-15,1.881470,124.260086,99.598068,114.164383,35.742481
2057-09-15,255.669952,322.531677,53.023197,7.494651,45.188808
2057-10-15,72.811844,224.028809,131.121460,16.154175,0.000000
2057-11-15,43.472145,45.509014,227.329712,91.964340,90.888550
2057-12-15,70.076233,134.953690,177.627884,104.450859,10.675957
2058-01-15,166.483231,152.773285,64.539848,201.817047,223.967819
2058-02-15,90.674507,178.808777,68.467163,93.720917,110.694107
2058-03-15,233.863785,64.939682,201.574203,150.309189,134.195404
2058-04-15,62.401665,61.913033,46.263596,137.090500,145.612534
2058-05-15,3.971480,102.185577,62.884998,68.790565,247.263611
2058-06-15,76.665657,68.634758,98.675575,34.049049,120.005684
2058-07-15,103.858948,186.785156,63.810543,45.391609,209.637833
2058-08-15,24.727875,5.218711,167.966431,67.469093,127.292694
2058-09-15,112.663872,204.700027,382.799988,281.211639,150.591782
2058-10-15,29.446079,111.981667,27.227402,85.363556,239.099579
2058-11-15,141.884933,114.337906,105.837326,35.327518,48.244499
2058-12-15,205.132126,142.762100,44.493931,22.960745,112.475426
2059-01-15,283.976501,292.185669,81.591431,108.311203,183.201691
2059-02-15,178.656570,78.904259,115.434837,203.775009,119.192711
2059-03-15,92.828445,190.451233,110.886024,160.503769,60.749207
2059-04-15,91.231407,124.229507,147.085068,104.882034,207.521194
2059-05-15,79.069695,109.709496,11.192139,69.546272,193.290527
2059-06-15,8.670430,120.604942,91.268562,112.888458,37.924767
2059-07-15,90.270767,214.464981,56.055275,70.138527,53.945992
2059-08-15,41.447910,272.334656,46.462406,101.841606,170.814957
2059-09-15,176.754150,156.417114,28.669880,44.927284,211.963440
2059-10-15,46.216057,10.715437,468.854218,145.799286,76.164101
2059-11-15,175.812210,84.765030,61.671314,101.721130,28.142378
2059-12-15,88.452606,121.531212,76.480240,100.821266,60.590065
2060-01-15,266.180298,58.122471,97.279564,155.621475,147.140137
2060-02-15,135.493393,135.917557,41.452873,153.441544,140.032700
2060-03-15,210.516479,98.852768,176.712677,299.990875,136.191696
2060-04-15,144.146164,118.601784,110.498466,144.559830,62.417164
2060-05-15,153.862030,149.422760,140.483475,173.860443,161.947754
2060-06-15,26.478632,225.726868,64.314186,121.957504,119.094437
2060-07-15,30.144638,150.844986,124.697899,174.689957,244.114532
2060-08-15,9.911400,105.984627,86.120163,141.141602,358.038727
2060-09-15,151.747894,479.131653,7.509944,48.124214,82.954025
2060-10-15,115.091644,153.027679,37.253162,142.297104,117.728958
2060-11-15,34.486401,105.484406,53.832138,60.767452,103.431793
2060-12-15,107.178284,152.556702,148.477875,188.871750,70.636833
2061-01-15,77.163109,152.795715,72.405655,226.365356,48.741467
2061-02-15,143.441284,79.825333,126.152962,73.470406,80.444550
2061-03-15,112.646118,99.346008,172.365311,88.265381,269.958496
2061-04-15,69.448952,34.824936,88.080910,205.075363,46.034725
2061-05-15,90.691154,79.694641,34.763962,101.958725,70.623314
