#Variables:
#pr_bcc-csm1-1_rcp85(mm):Monthly Precipitation Amount
#pr_CNRM-CM5_rcp85(mm):Monthly Precipitation Amount
#pr_inmcm4_rcp85(mm):Monthly Precipitation Amount
#pr_MIROC-ESM_rcp85(mm):Monthly Precipitation Amount
#pr_NorESM1-M_rcp85(mm):Monthly Precipitation Amount
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)"
""
yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)
2006-01-15,155.817062,102.184204,127.468948,204.207321,179.872742
2006-02-15,126.340263,141.141891,275.749176,178.865219,115.905495
2006-03-15,51.915295,57.600689,159.548828,153.939667,185.639954
2006-04-15,194.425735,152.608459,201.501801,195.292969,21.856543
2006-05-15,191.594101,181.092514,332.849426,93.664871,91.094200
2006-06-15,62.602379,48.909954,69.938118,111.331863,74.210876
2006-07-15,86.146729,87.961922,451.983368,13.574925,98.743607
2006-08-15,46.581936,107.466057,103.459816,118.914230,215.451401
2006-09-15,161.221588,148.243347,188.851883,82.643738,120.404984
2006-10-15,120.948128,129.843048,55.429691,87.319382,32.054943
2006-11-15,125.669220,109.310318,151.345917,97.703964,129.552521
2006-12-15,50.600719,58.428410,105.091393,75.766090,298.534332
2007-01-15,145.565979,119.003273,232.885681,205.141846,63.470058
2007-02-15,142.401825,115.809914,131.250458,43.433361,145.345764
2007-03-15,48.825504,83.747879,66.518524,61.694386,229.891205
2007-04-15,104.163643,227.528488,123.924973,130.768509,45.657543
2007-05-15,74.798218,47.811306,100.860046,103.725136,94.624496
2007-06-15,27.267406,132.451126,82.483986,139.053726,188.578903
2007-07-15,74.496742,140.756851,46.271332,101.621536,118.121376
2007-08-15,110.757469,88.005981,13.384922,206.157700,85.381912
2007-09-15,3.249687,564.707153,61.045311,140.836258,91.514168
2007-10-15,100.720085,145.224884,43.514156,161.209396,32.177364
2007-11-15,165.695435,74.532700,314.157745,153.540756,61.146595
2007-12-15,117.858963,80.782814,120.021454,61.345203,146.093155
2008-01-15,132.549362,74.399460,149.680130,239.345856,111.889488
2008-02-15,106.963470,137.747147,192.129990,142.978790,266.312744
2008-03-15,201.909042,207.833832,151.118332,95.556374,71.216919
2008-04-15,54.638271,172.957993,44.185627,78.613365,111.034317
2008-05-15,112.586639,71.744514,88.938713,87.426514,162.443512
2008-06-15,107.955391,51.715157,160.018112,54.341843,79.063934
2008-07-15,67.277466,47.563457,183.779617,41.747837,100.707184
2008-08-15,44.675720,434.408020,236.601257,134.402969,86.705406
2008-09-15,76.480469,186.901382,20.798769,121.557106,36.504265
2008-10-15,136.621292,17.537766,7.430721,6.260474,148.282257
2008-11-15,123.843086,138.570023,130.193359,127.780472,110.493294
2008-12-15,312.817749,84.698799,88.413055,165.191620,152.601761
2009-01-15,151.454498,193.478027,170.471588,150.911133,362.303528
2009-02-15,174.942596,55.733021,108.398109,116.261024,203.917709
2009-03-15,62.049911,88.377937,215.319626,56.998150,136.311539
2009-04-15,69.618652,190.694458,96.093544,98.790260,113.410080
2009-05-15,28.004959,204.045715,59.156498,197.304581,107.739014
2009-06-15,107.534561,149.326889,104.939537,54.961472,52.910107
2009-07-15,130.739059,249.838287,135.653412,15.072787,191.275711
2009-08-15,92.550095,111.989326,107.304192,110.009682,212.508804
2009-09-15,136.675522,218.250702,89.852173,133.818588,249.362350
2009-10-15,40.365761,161.934113,172.297012,85.613342,135.177063
2009-11-15,45.747055,125.066940,89.541306,91.415565,142.295044
2009-12-15,91.295250,94.317490,59.692989,61.827953,88.133896
2010-01-15,100.461601,120.130547,108.879547,119.014877,174.874146
2010-02-15,96.832962,229.926468,126.364014,67.965912,228.109665
2010-03-15,298.046661,145.290649,119.318253,72.185707,230.965546
2010-04-15,44.066669,141.248856,104.755341,123.525536,115.134193
2010-05-15,142.837967,154.868774,136.964920,89.827278,121.846016
2010-06-15,116.657463,152.312668,28.569059,64.394371,70.178665
