#Variables:
#tasmax_bcc-csm1-1_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_inmcm4_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC5_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_MIROC5_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_NorESM1-M_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K),tasmin_bcc-csm1-1_historical(K),tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),tasmax_inmcm4_historical(K),tasmin_inmcm4_historical(K),tasmax_MIROC5_historical(K),tasmin_MIROC5_historical(K),tasmax_NorESM1-M_historical(K),tasmin_NorESM1-M_historical(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K),tasmin_bcc-csm1-1_historical(K),tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),tasmax_inmcm4_historical(K),tasmin_inmcm4_historical(K),tasmax_MIROC5_historical(K),tasmin_MIROC5_historical(K),tasmax_NorESM1-M_historical(K),tasmin_NorESM1-M_historical(K)
1963-03-15,291.685608,278.233429,287.276154,274.559204,291.929291,279.256805,293.441010,279.619232,290.249756,276.490845
1963-04-15,297.088226,283.572601,295.976624,282.069977,292.642395,280.704285,298.850647,284.185394,294.467255,279.776764
1963-05-15,298.384918,285.985504,298.903503,286.287048,300.285980,285.889526,300.846680,286.649078,300.227875,287.297180
1963-06-15,302.018280,290.138489,301.112976,290.828430,304.583588,290.136322,302.544647,289.555603,301.366913,290.046234
1963-07-15,303.269501,292.098907,302.279663,291.447357,303.059601,292.146545,306.371368,293.191620,302.653351,291.590454
1963-08-15,303.820160,290.930969,302.563538,290.749115,302.573181,292.181000,303.521301,291.220886,303.207825,291.066589
1963-09-15,299.839233,289.151062,298.502075,287.785004,299.187012,288.915985,301.449005,289.297241,300.024261,287.547852
1963-10-15,290.043182,279.403168,291.846130,278.928253,296.170502,279.654388,295.426117,283.216461,294.635376,283.784424
1963-11-15,291.713013,278.466705,286.252045,273.048676,291.811737,279.917755,288.264343,275.433502,291.651184,279.126526
1963-12-15,288.048218,276.924744,286.041870,274.727356,282.156250,272.796173,282.768341,271.095490,287.797913,278.389404
1964-01-15,282.385162,271.450806,283.936279,272.250397,283.437378,272.039459,284.222595,272.952576,284.668274,274.902374
1964-02-15,283.968323,272.550323,288.111481,277.352356,286.691132,275.064850,285.981079,273.202362,288.967590,277.181854
1964-03-15,288.841797,276.264496,291.901886,278.451904,291.077393,276.818237,289.916016,276.043549,296.611725,279.769409
1964-04-15,294.136505,281.138062,296.125488,281.998505,294.733093,280.509216,293.717377,280.006012,299.082947,283.483124
1964-05-15,297.258331,284.279694,299.261780,284.602325,300.303833,289.018341,298.411163,286.173706,298.801331,286.337463
1964-06-15,302.291077,290.271149,303.217804,290.855164,302.442993,290.954895,303.214203,290.799652,305.765778,292.252838
1964-07-15,302.481262,291.418518,309.109131,295.369080,303.804382,293.394318,303.999176,292.633057,303.708069,293.373444
1964-08-15,303.520050,291.620483,304.687714,293.457489,304.247772,292.677826,303.982147,291.353912,301.672333,290.722900
1964-09-15,301.139313,287.256256,299.406342,289.753906,302.183533,287.830292,302.333649,291.294647,298.771667,287.139648
1964-10-15,296.550446,284.168640,292.259094,280.430756,294.060883,282.582397,294.177551,281.925140,295.910034,283.887939
1964-11-15,287.793396,275.621521,286.841217,275.729187,288.220886,276.967163,285.890930,275.008270,289.745697,278.925262
1964-12-15,282.442383,272.011139,284.286102,272.893158,284.601959,274.192352,284.086090,273.350006,282.320435,271.434967
1965-01-15,287.898499,276.949066,283.860382,273.058899,286.599060,272.823059,285.776550,275.005524,278.597870,268.242584
1965-02-15,284.874481,273.450073,284.194946,271.712646,283.378937,272.275208,287.335876,276.129700,283.395660,271.320770
1965-03-15,291.868896,277.905914,294.289337,280.526978,291.116272,276.996368,290.204681,277.652161,283.205048,272.255493
1965-04-15,294.733185,281.118561,295.306488,280.191467,294.279724,281.635925,290.892395,276.982117,294.469238,280.837830
