,"(deg C) Mean Temperature (PRISM MONTHLY) at -83.9691E,34.2219N, Jan 1961 to Dec 2005"
"1982-10-01",15.627
"1982-11-01",11.142
"1982-12-01",9.102
"1983-01-01",3.833
"1983-02-01",6.276
"1983-03-01",10.195
"1983-04-01",12.533
"1983-05-01",18.901
"1983-06-01",21.921
"1983-07-01",26.233
"1983-08-01",26.394
"1983-09-01",20.474
"1983-10-01",15.77
"1983-11-01",10.292
"1983-12-01",4.028
"1984-01-01",3.869
"1984-02-01",7.173
"1984-03-01",9.908
"1984-04-01",13.556
"1984-05-01",18.805
"1984-06-01",24.27
"1984-07-01",24.05
"1984-08-01",24.525
"1984-09-01",20.783
"1984-10-01",19.352
"1984-11-01",9.114
"1984-12-01",10.704
"1985-01-01",1.828
"1985-02-01",5.987
"1985-03-01",12.21
"1985-04-01",16.5
"1985-05-01",19.488
"1985-06-01",23.787
"1985-07-01",24.469
"1985-08-01",24.082
"1985-09-01",20.788
"1985-10-01",18.323
"1985-11-01",15.716
"1985-12-01",4.228
"1986-01-01",4.284
"1986-02-01",8.676
"1986-03-01",10.872
"1986-04-01",16.253
"1986-05-01",20.15
"1986-06-01",25.258
"1986-07-01",27.742
"1986-08-01",24.907
"1986-09-01",22.263
"1986-10-01",16.452
"1986-11-01",12.88
"1986-12-01",6.321
"1987-01-01",4.225
"1987-02-01",6.348
"1987-03-01",10.488
"1987-04-01",13.906
"1987-05-01",21.561
"1987-06-01",24.222
"1987-07-01",26.306
"1987-08-01",26.586
"1987-09-01",21.835
"1987-10-01",13.09
"1987-11-01",11.822
"1987-12-01",7.669
"1988-01-01",2.368
"1988-02-01",5.739
"1988-03-01",10.883
"1988-04-01",15.853
"1988-05-01",18.94
"1988-06-01",24.068
"1988-07-01",25.254
"1988-08-01",26.094
"1988-09-01",21.607
"1988-10-01",13.496
"1988-11-01",11.144
"1988-12-01",6.505
"1989-01-01",7.441
"1989-02-01",7.069
"1989-03-01",12.083
"1989-04-01",14.739
"1989-05-01",17.901
"1989-06-01",23.258
"1989-07-01",24.992
"1989-08-01",24.75
"1989-09-01",21.295
"1989-10-01",16.026
"1989-11-01",10.714
